Tag,Source,Date Published,Contributor,Title
Hybrid Cloud,Research,2021-03-18,Roy Bar-Haim,AI and crowdsourcing to help physicians diagnose epilepsy faster
Knowledge and Reasoning,Release,2021-06-10,Alfio Gliozzo,IBM’s new AI outperforms competition in table entry search with question-answering
Knowledge and Reasoning,Research,2020-11-13,Nelson Felix, DualTKB: A Dual Learning Bridge between Text and Knowledge Base
Knowledge and Reasoning,Research,2020-12-04,Pierre Dognin,Getting AI to reason: using neuro-symbolic AI for knowledge-based question answering
Machine Learning,Deep Dive,2021-10-18,Guillermo Cecchi,Learning from imaging data to model brain activity
Machine Learning,Research,2021-08-19,Pablo Meyer,Crowdsourcing to trace cell lineages
Neuro-symbolic AI,Research,2020-12-16,Pin-Yu Chen,IBM-Stanford team’s solution of a longstanding problem could greatly boost AI
Neuro-symbolic AI,Research,2021-10-12,Mike Murphy,How IBM Research is accelerating discoveries in the fight against COVID-19
Quantum,Release,2021-03-05,Kathryn Guarini, IBM Molecule Generation Experience: Supercharging new materials design with AI and Hybrid Cloud
Quantum,Release,2021-04-23,Abe Asfaw,The Qiskit Global Summer School is returning with a focus on Quantum Machine Learning
Quantum,Research,2021-06-02,Srinivasan Arunachalam,An efficient method to learn quantum many-body systems
Quantum,Research,2021-07-12,Yunchao Liu,Quantum kernels can solve machine learning problems that are hard for all classical methods
Quantum,Research,2021-07-22,Ivano Tavernelli,IBM welcomes CERN as a new hub in the IBM Quantum Network
Scaling AI,Research,2021-08-13,Edward Pyzer-Knapp,"New algorithm accelerates materials screening by working smart, not hard"
Security,Release,2020-06-26,Mukesh Khare,IBM Differential Privacy Library: The single line of code that can protect your data
Security,Release,2020-10-02,Youssef Mroueh,Adversarial Robustness Toolbox: One Year Later with v1.4
Security,Release,2021-01-26,Ankur Agrawal,AI goes anonymous during training to boost privacy protection
Security,Release,2021-08-05,Ambrish Rawat,Researchers develop defenses against deep learning hack attacks
Security,Release,2021-11-02,Marc Stoecklin,IBM’s new AI-infused security technologies help defenders speed response to cyber attacks
Trusted AI,Deep Dive,2021-10-07,Abhishek Bhandwaldar,Evaluating common sense in AI
Trusted AI,News,2020-07-23,Michael Hind, Image captioning as an assistive technology
Trusted AI,Release,2020-07-09,Naoise Holohan,IBM FactSheets Further Advances Trust in AI
Trusted AI,Release,2021-06-08,Prasanna Sattigeri,IBM’s Uncertainty Quantification 360 toolkit boosts trust in AI
Trusted AI,Research,2020-02-23,Jeffrey Burns, Characterizing the evolution of tasks within occupations
